timestamp,lat,lon,hdop,num_satellites,snr
0.00,10.762622,106.660172,1.2,10,35
0.10,10.762622,106.66017931516846,1.2,10,35
0.20,10.762622,106.66018663033691,1.2,10,35
0.30,10.762622,106.66019394550537,1.2,10,35
0.40,10.762622,106.66020126067382,1.2,10,35
0.50,10.762622,106.66020857584228,1.2,10,35
0.60,10.762622,106.66021589101074,1.2,10,35
0.70,10.762622,106.66022320617918,1.2,10,35
0.80,10.762622,106.66023052134764,1.2,10,35
0.90,10.762622,106.66023783651609,1.2,10,35
1.00,10.762622,106.66024515168455,1.2,10,35
1.10,10.762622,106.660252466853,1.2,10,35
1.20,10.762622,106.66025978202146,1.2,10,35
1.30,10.762622,106.66026709718992,1.2,10,35
1.40,10.762622,106.66027441235836,1.2,10,35
1.50,10.762622,106.66028172752682,1.2,10,35
1.60,10.762622,106.66028904269527,1.2,10,35
1.70,10.762622,106.66029635786373,1.2,10,35
1.80,10.762622,106.66030367303219,1.2,10,35
1.90,10.762622,106.66031098820064,1.2,10,35
2.00,10.762622,106.6603183033691,1.2,10,35
2.10,10.762622,106.66032561853754,1.2,10,35
2.20,10.762622,106.660332933706,1.2,10,35
2.30,10.762622,106.66034024887446,1.2,10,35
2.40,10.762622,106.66034756404291,1.2,10,35
2.50,10.762622,106.66035487921137,1.2,10,35
2.60,10.762622,106.66036219437981,1.2,10,35
2.70,10.762622,106.66036950954827,1.2,10,35
2.80,10.762622,106.66037682471672,1.2,10,35
2.90,10.762622,106.66038413988518,1.2,10,35
3.00,10.762622,106.66039145505364,1.2,10,35
3.10,10.762622,106.66039877022209,1.2,10,35
3.20,10.762622,106.66040608539055,1.2,10,35
3.30,10.762622,106.660413400559,1.2,10,35
3.40,10.762622,106.66042071572745,1.2,10,35
3.50,10.762622,106.66042803089591,1.2,10,35
3.60,10.762622,106.66043534606436,1.2,10,35
3.70,10.762622,106.66044266123282,1.2,10,35
3.80,10.762622,106.66044997640127,1.2,10,35
3.90,10.762622,106.66045729156973,1.2,10,35
4.00,10.762622,106.66046460673817,1.2,10,35
4.10,10.762622,106.66047192190663,1.2,10,35
4.20,10.762622,106.6604792370751,1.2,10,35
4.30,10.762622,106.66048655224354,1.2,10,35
4.40,10.762622,106.660493867412,1.2,10,35
4.50,10.762622,106.66050118258045,1.2,10,35
4.60,10.762622,106.6605084977489,1.2,10,35
4.70,10.762622,106.66051581291737,1.2,10,35
4.80,10.762622,106.66052312808581,1.2,10,35
4.90,10.762622,106.66053044325427,1.2,10,35
5.00,10.762622,106.66053775842272,1.2,10,35
5.10,10.762622,106.66054507359118,1.2,10,35
5.20,10.762622,106.66055238875964,1.2,10,35
5.30,10.762622,106.66055970392809,1.2,10,35
5.40,10.762622,106.66056701909655,1.2,10,35
5.50,10.762622,106.660574334265,1.2,10,35
5.60,10.762622,106.66058164943345,1.2,10,35
5.70,10.762622,106.6605889646019,1.2,10,35
5.80,10.762622,106.66059627977036,1.2,10,35
5.90,10.762622,106.66060359493882,1.2,10,35
6.00,10.762622,106.66061091010727,1.2,10,35
6.10,10.762622,106.66061822527573,1.2,10,35
6.20,10.762622,106.66062554044417,1.2,10,35
6.30,10.762622,106.66063285561263,1.2,10,35
6.40,10.762622,106.6606401707811,1.2,10,35
6.50,10.762622,106.66064748594954,1.2,10,35
6.60,10.762622,106.660654801118,1.2,10,35
6.70,10.762622,106.66066211628645,1.2,10,35
6.80,10.762622,106.6606694314549,1.2,10,35
6.90,10.762622,106.66067674662337,1.2,10,35
